"name","url"
"Instituto Universitario de Seguridad Maritima","http://www.prefecturanaval.edu.ar/"
"Instituto Universitario del Gran Rosario","http://www.iugr.edu.ar/"
"Instituto Universitario Escuela Argentina de Negocios","http://www.ean.edu.ar/"
"Instituto Universitario Gaston Dachary","http://www.dachary.edu.ar/"
"Instituto Universitario Idea","http://www.ideared.org/"
"Instituto Universitario ISEDET","http://www.isedet.edu.ar/"
"Instituto Universitario Italiano de Rosario","http://www.iunir.edu.ar/"
"Instituto Universitario Nacional del Arte","http://www.iuna.edu.ar/"
"Instituto Universitario Naval","http://www.inun.edu.ar/"
"Universidad Adventista del Plata","http://www.uapar.edu/"
"Universidad Argentina de la Empresa","http://www.uade.edu.ar/"
"Universidad Argentina John F Kennedy","http://www.kennedy.edu.ar/"
"Universidad Atlantida Argentina","http://www.atlantida.edu.ar/"
"Universidad Austral","http://www.austral.edu.ar/"
"Universidad Autónoma de Entre Rios","http://www.uader.edu.ar/"
"Universidad Blas Pascal","http://www.ubp.edu.ar/"
"Universidad Caece","http://www.caece.edu.ar/"
"Universidad CAECE Mar del Plata","http://www.ucaecemdp.edu.ar/"
"Universidad Católica Argentina","http://www.uca.edu.ar/"
"Universidad Católica de Cordoba","http://www.ucc.edu.ar/"
"Universidad Católica de Cuyo","http://www.uccuyo.edu.ar/"
"Universidad Católica de la Plata","http://www.ucalp.edu.ar/"
"Universidad Católica de la Plata Sede Academica Rosario","http://www.ucalpros.org.ar/"
"Universidad Católica de Salta","http://www.ucasal.net/"
"Universidad Católica de Santa Fe","http://www.ucsf.edu.ar/"
"Universidad Católica de Santiago del Estero","http://www.ucse.edu.ar/"
"Universidad Champagnat Mendoza","http://www.uch.edu.ar/"
"Universidad de Belgrano","http://www.ub.edu.ar/"
"Universidad de Buenos Aires","http://www.uba.ar/"
"Universidad de Ciencias Empresariales y Sociales","http://www.uces.edu.ar/"
"Universidad de Congreso","http://www.ucongreso.edu.ar/"
"Universidad de Flores","http://www.uflo.edu.ar/"
"Universidad de la Cuenca del Plata *","http://www.ucp.edu.ar/"
"Universidad de la Marina Mercante","http://www.udemm.edu.ar/"
"Universidad de Mendoza","http://www.um.edu.ar/"
"Universidad de Moron","http://www.unimoron.edu.ar/"
"Universidad de Palermo Argentina","http://www.palermo.edu/"
"Universidad de San Andres Buenos Aires","http://www.udesa.edu.ar/"
"Universidad del Aconcagua","http://www.uda.edu.ar/"
"Universidad del Cema","http://www.cema.edu.ar/"
"Universidad del Centro Educativo Latinoamericano","http://www.ucel.edu.ar/"
"Universidad del Cine","http://www.ucine.edu.ar/"
"Universidad del Museo Social Argentino","http://www.umsa.edu.ar/"
"Universidad del Norte Santo Tomas de Aquino","http://www.unsta.edu.ar/"
"Universidad del Salvador Buenos Aires","http://www.salvador.edu.ar/"
"Universidad Empresarial Siglo 21","http://www.uesiglo21.edu.ar/"
"Universidad Fasta Mar del Plata","http://www.ufasta.edu.ar/"
"Universidad Favaloro","http://www.favaloro.edu.ar/"
"Universidad Juan Agustin Maza","http://www.umaza.edu.ar/"
"Universidad Maimónides *","http://www.maimonides.edu/"
"Universidad Nacional de Catamarca","http://www.unca.edu.ar/"
"Universidad Nacional de Chilecito","http://www.undec.edu.ar/"
"Universidad Nacional de Concepción del Uruguay","http://www.ucu.edu.ar/"
"Universidad Nacional de Cordoba","http://www.unc.edu.ar/"
"Universidad Nacional de Cuyo Mendoza","http://www.uncu.edu.ar/"
"Universidad Nacional de Entre Rios","http://www.uner.edu.ar/"
"Universidad Nacional de Formosa","http://www.unf.edu.ar/"
"Universidad Nacional de General Sarmiento","http://www.ungs.edu.ar/"
"Universidad Nacional de Jujuy","http://www.unju.edu.ar/"
"Universidad Nacional de la Matanza","http://www.unlam.edu.ar/"
"Universidad Nacional de la Pampa","http://www.unlpam.edu.ar/"
"Universidad Nacional de la Patagonia Austral","http://www2.unpa.edu.ar/"
"Universidad Nacional de la Patagonia San Juan Bosco","http://www.unp.edu.ar/"
"Universidad Nacional de la Plata","http://www.unlp.edu.ar/"
"Universidad Nacional de la Rioja","http://www.unlar.edu.ar/"
"Universidad Nacional de Lanus","http://www.unla.edu.ar/"
"Universidad Nacional de Lomas de Zamora","http://www.unlz.edu.ar/"
"Universidad Nacional de Luján ","http://www.unlu.edu.ar/"
"Universidad Nacional de Mar del Plata","http://www.mdp.edu.ar/"
"Universidad Nacional de Misiones","http://www.unam.edu.ar/"
"Universidad Nacional de Quilmes","http://www.unq.edu.ar/"
"Universidad Nacional de Río Cuarto","http://www.unrc.edu.ar/"
"Universidad Nacional de Rosario","http://www.unr.edu.ar/"
"Universidad Nacional de Salta","http://www.unsa.edu.ar/"
"Universidad Nacional de San Juan","http://www.unsj.edu.ar/"
"Universidad Nacional de San Luis","http://www.unsl.edu.ar/"
"Universidad Nacional de San Martín Argentina","http://www.unsam.edu.ar/"
"Universidad Nacional de Santiago del Estero","http://www.unse.edu.ar/"
"Universidad Nacional de Tucumán","http://www.unt.edu.ar/"
"Universidad Nacional de Villa María","http://www.unvm.edu.ar/"
"Universidad Nacional del Centro de la Provincia de Buenos Aires","http://www.unicen.edu.ar/"
"Universidad Nacional del Comahue","http://www.uncoma.edu.ar/"
"Universidad Nacional del Litoral","http://www.unl.edu.ar/"
"Universidad Nacional del Nordeste","http://www.unne.edu.ar/"
"Universidad Nacional del Noroeste de la Provincia de Buenos Aires","http://www.unnoba.edu.ar/"
"Universidad Nacional del Sur","http://www.uns.edu.ar/"
"Universidad Nacional Tres de Febrero","http://www.untref.edu.ar/"
"Universidad Notarial Argentina","http://www.universidadnotarial.edu.ar/"
"Universidad Tecnológica Nacional","http://www.utn.edu.ar/"
"Universidad Torcuato di Tella","http://www.utdt.edu/"
"Universidad Virtual de Quilmes","http://qoodle.uvq.edu.ar/"
"Vaneduc Universidad Abierta Interamericana","http://www.vaneduc.edu.ar/"
"American University of Armenia","http://www.aua.am/"
"Armenian Agricultural Academy","http://www.armagrar-uni.am/"
"Eurasia International University","http://eiu.am/"
"Gyumri State Pedagogical Institute","http://gyumri.org/"
"Mehrabyan Medical Institute","http://www.armmed.am/"
"Russian Armenian State University","http://www.rau.am/"
"State Engineering University of Armenia","http://www.seua.am/"
"Université Française en Armenie","http://ufar.am/"
"Yerevan Physics Institute","http://www.yerphi.am/"
"Yerevan State Linguistic University","http://www.brusov.am/"
"Yerevan State Medical University","http://www.ysmu.am/"
"Yerevan State University","http://www.ysu.am/"
"Yerevan State University of Architecture and Construction","http://www.ysuac.am/"
"Yerevan University of Haybusak","http://www.haybusak.com/"
"Yerevan University of Management and Information Technology","http://www.yumit.am/"
"All Saints University of Medicine Aruba","http://www.asumaruba.org/"
"University of Aruba","http://www.ua.aw/"
"Xavier University School of Medicine Aruba","http://edu.xusom.nl/"
"Australian Agricultural College Corporation","http://www.agriculturalcollege.qld.edu.au/"
"Australian Catholic University","http://www.acu.edu.au/"
"Australian College of Applied Psychology","http://www.acap.edu.au/"
"Australian College of Physical Education","http://www.acpe.edu.au/"
"Australian College of Theology","http://www.actheology.edu.au/"
"Australian Defence Force Academy at UNSW","http://www.unsw.adfa.edu.au/"
"Australian Film Television and Radio School","http://www.aftrs.edu.au/"
"Australian Institute of Music","http://www.aim.edu.au/"
"Australian International College of Art","http://www.aica.edu.au/"
"Australian International Conservatorium of Music","http://www.aicm.edu.au/"
"Australian International Hotel School","http://www.aihs.edu.au/"
"Australian Lutheran College","http://www.alc.edu.au/"
"Australian Maritime College","http://www.amc.edu.au/"
"Australian National University","http://www.anu.edu.au/"
"Avondale College","http://www.avondale.edu.au/"
"Batchelor Institute of Indigenous Tertiary Education","http://www.batchelor.edu.au/"
"Billy Blue College","http://www.billyblue.com.au/"
"Blue Mountains Hotel School","http://www.hotelschool.com.au/"
"Bond University","http://www.bond.edu.au/"
"Campion College","http://www.campion.edu.au/"
"Central Queensland University","http://www.cqu.edu.au/"
"Charles Darwin University","http://www.cdu.edu.au/"
"Charles Sturt University","http://www.csu.edu.au/"
"Christian Heritage College   ","http://www.chc.edu.au/"
